Mode              : baseline
58    0.999 0.002 0.798 0.929 1.121 0.000
59    0.999 0.002 0.806 0.934 1.090 0.000
60    0.999 0.002 0.801 0.937 1.132 0.000
61    0.999 0.002 0.799 0.935 1.151 0.000
62    0.999 0.002 0.797 0.934 1.146 0.000
63    0.999 0.002 0.803 0.935 1.133 0.000
64    0.999 0.002 0.801 0.932 1.166 0.000
65    0.999 0.002 0.804 0.931 1.123 0.000
66    1.000 0.001 0.802 0.930 1.120 0.000
67    0.999 0.001 0.799 0.934 1.144 0.000
68    0.999 0.002 0.807 0.936 1.141 0.000
69    1.000 0.001 0.806 0.937 1.128 0.000
70    1.000 0.001 0.800 0.938 1.136 0.000
71    1.000 0.001 0.798 0.937 1.124 0.000
72    0.999 0.001 0.809 0.937 1.135 0.000
73    0.999 0.001 0.805 0.938 1.123 0.000
74    0.999 0.002 0.807 0.937 1.129 0.000
75    0.999 0.001 0.807 0.939 1.144 0.000
76    1.000 0.001 0.812 0.938 1.148 0.000
77    0.999 0.001 0.805 0.939 1.160 0.000
78    0.999 0.001 0.801 0.938 1.144 0.000
79    0.999 0.001 0.814 0.939 1.142 0.000
80    0.999 0.002 0.807 0.938 1.127 0.000
81    0.999 0.001 0.815 0.939 1.122 0.000
82    0.999 0.002 0.809 0.937 1.138 0.000
83    0.999 0.001 0.804 0.938 1.149 0.000
84    1.000 0.001 0.805 0.938 1.155 0.000
85    0.999 0.002 0.807 0.942 1.117 0.000
86    0.999 0.001 0.808 0.939 1.126 0.000
87    1.000 0.001 0.811 0.939 1.112 0.000
88    0.999 0.001 0.812 0.941 1.122 0.000
89    0.999 0.001 0.814 0.936 1.136 0.000
90    0.999 0.001 0.804 0.941 1.118 0.000
91    0.999 0.002 0.807 0.939 1.137 0.000
92    0.999 0.001 0.810 0.941 1.126 0.000
93    1.000 0.001 0.806 0.938 1.107 0.000
94    0.999 0.001 0.811 0.936 1.130 0.000
95    0.999 0.001 0.808 0.940 1.103 0.000
96    0.999 0.001 0.808 0.940 1.113 0.000
97    0.999 0.001 0.806 0.941 1.106 0.000
98    0.999 0.001 0.816 0.938 1.139 0.000
99    1.000 0.001 0.813 0.937 1.126 0.000
100   0.999 0.001 0.807 0.937 1.133 0.000
